model,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,test_mape,test_accuracy_10pct,training_seconds
Random Forest,0.9984887314270676,0.9888424884916989,881.5843644840603,2397.9330186544153,339.0061256022479,923.2092438871194,6.238301034268036,81.08355983925027,20.477043390274048
Gradient Boosting,0.9585142664890277,0.9573277138623968,4618.9412686600745,4689.49774463846,2769.6105446660404,2782.0148782956467,20.42968133721811,37.40932815287899,33.15940475463867
Ridge Regression,0.9077872571955041,0.9073049393727874,6886.340984453388,6911.648961769593,4555.63808541532,4536.783365883599,44.62546325319753,24.037419333322216,0.02929544448852539
Linear Regression,0.9077872572259919,0.9073049340497643,6886.3409833149935,6911.649160220661,4555.63399485966,4536.7800503282415,44.62557372582035,24.037419333322216,0.07051777839660645
